UTC(hours),Swin(W.m-2),Qnet(W.m-2),thetam(K),qm(g.kg-1),GR1(W.m-2),GR2(W.m-2),um(m.s-1),cm(ppm),NEE(mgCO2.m-2.s-1),SH(W.m-2),LE(W.m-2),bowen_ratio,ResEnergy(W.m-2),correctedSH(W.m-2),correctedLE(W.m-2),ra(s.m-1),Tsoil1(K),Tsoil2(K),rs(s.m-1),SWnet(W.m-2),LWnet(W.m-2)
-1.0,0.0,-36.94,285.01,7.63,-23.91,-31.08,0.42,548.70,0.19,-0.30,0.32,-0.92,-13.05,11.7,12.32,15,289.57,289.11,6751,-0.09,-36.85
-0.5,0.0,-30.58,284.76,7.54,-20.89,-28.69,0.51,491.40,0.12,-2.98,-0.93,3.20,-5.77,-21.47,-19.42,23,289.41,289.12,-2177,-0.30,-30.28
0.0,0.0,-26.80,284.57,7.48,-20.47,-27.60,0.42,510.90,-0.41,0.35,1.17,0.30,-7.85,-2,-1.18,14,289.26,289.13,1739,-0.45,-26.35
0.5,0.0,-24.98,284.42,7.43,-19.98,-27.65,0.54,-9999.00,-9999.00,-2.57,-3.82,0.67,1.4,-1.63,-2.89,14,289.12,289.14,-545,-0.20,-24.78
1.0,0.0,-23.57,284.23,7.36,-20.20,-27.50,0.48,507.90,-9999.00,-4.11,-1.83,2.25,2.57,1.68,3.97,12,288.99,289.14,-1086,-0.36,-23.21
1.5,0.0,-17.62,284.29,7.42,-18.18,-25.73,0.46,456.60,0.16,-4.28,0.11,-40.09,4.74,-194.25,-189.86,17,288.87,289.15,18027,-0.44,-17.18
2.0,0.0,-12.02,284.55,7.59,-13.76,-20.21,0.24,459.90,0.17,1.29,4.65,0.28,-4.2,0.13,3.49,6,288.75,289.16,386,-0.76,-11.26
2.5,0.0,-12.36,285.31,8.03,-10.06,-14.79,0.60,452.60,0.24,-13.42,3.91,-3.43,7.21,-38.15,-20.81,8,288.65,289.17,439,-0.58,-11.78
3.0,0.0,-17.93,285.45,8.09,-13.35,-18.29,0.68,453.00,0.16,-12.07,-0.03,462.27,7.52,3464.75,3476.79,9,288.57,289.18,-68969,-0.07,-17.86
3.5,0.0,-19.18,285.01,7.85,-15.53,-21.22,0.63,446.20,0.23,-14.92,3.66,-4.07,7.61,-45.93,-27.34,9,288.51,289.18,474,0.01,-19.19
4.0,0.0,-17.38,284.45,7.56,-17.62,-23.87,0.69,453.50,0.02,-4.51,0.36,-12.49,4.39,-59.3,-54.43,13,288.45,289.18,4882,-0.04,-17.34
4.5,9.7,-10.18,284.22,7.46,-16.36,-22.97,0.75,451.80,0.08,-5.12,0.08,-66.25,11.22,-748.2,-743.01,13,288.37,289.19,23179,8.12,-18.30
5.0,31.6,7.02,284.28,7.51,-13.81,-19.80,0.66,440.90,0.08,-7.44,1.54,-4.83,26.72,-136.53,-127.55,10,288.29,289.19,1229,26.12,-19.10
5.5,106.4,61.28,284.96,7.90,-5.44,-9.95,0.68,433.10,0.04,-12.90,14.21,-0.91,65.41,-72.28,-45.17,6,288.22,289.19,143,82.68,-21.40
6.0,176.0,110.50,286.45,8.74,4.04,3.66,0.71,421.90,-0.16,-12.41,46.29,-0.27,72.58,-31.87,26.83,4,288.17,289.19,43,134.70,-24.20
6.5,241.0,121.43,287.59,9.40,9.78,13.67,1.02,408.30,-0.30,-10.00,67.90,-0.15,53.75,-17.92,59.98,6,288.15,289.19,31,187.13,-65.70
7.0,321.4,162.68,288.44,9.92,13.80,19.90,1.20,391.70,-0.66,-7.36,110.50,-0.07,45.74,-10.41,107.45,4,288.18,289.19,19,251.48,-88.80
7.5,417.6,233.90,290.04,10.77,18.75,28.35,1.20,385.20,-1.05,31.52,115.00,0.27,68.63,50.33,133.81,4,288.25,289.19,30,330.10,-96.20
8.0,498.8,297.50,292.39,10.44,22.20,34.12,1.54,379.70,-1.17,53.47,137.10,0.39,84.73,86.52,170.15,4,288.35,289.18,76,398.10,-100.60
8.5,568.5,355.30,294.47,10.17,24.84,39.42,1.92,377.20,-1.30,86.34,149.50,0.58,94.62,140.99,204.15,5,288.48,289.18,116,457.10,-101.80
9.0,630.9,409.40,295.44,10.02,24.44,43.11,1.87,371.30,-1.50,76.47,194.50,0.39,113.99,121.29,239.32,5,288.64,289.18,107,511.10,-101.70
9.5,680.6,452.90,296.51,10.10,24.66,46.13,1.92,364.90,-1.55,93.15,213.50,0.44,121.59,146.2,266.55,4,288.83,289.18,112,554.10,-101.20
10.0,727.7,493.20,297.51,9.79,25.24,48.20,2.07,362.10,-1.74,101.80,224.40,0.45,141.76,166.11,288.71,4,289.03,289.16,127,594.50,-101.30
10.5,762.7,523.10,297.43,9.77,25.17,48.61,2.31,363.20,-1.69,100.40,214.90,0.47,182.63,185.72,300.22,5,289.26,289.16,135,624.50,-101.40
11.0,792.7,546.40,298.07,10.06,25.80,50.50,2.24,363.20,-1.92,116.50,214.40,0.54,189.7,219.58,317.48,5,289.47,289.15,143,649.40,-103.00
11.5,805.7,557.80,298.23,9.89,26.54,53.41,2.59,359.60,-1.92,115.60,246.30,0.47,169.36,195.09,325.79,4,289.71,289.15,128,660.50,-102.70
12.0,807.7,560.60,298.71,9.63,24.14,57.14,2.17,356.60,-1.71,104.80,229.00,0.46,202.66,197.55,321.75,4,289.95,289.14,149,662.80,-102.20
12.5,800.7,555.50,299.01,9.69,25.56,46.25,2.35,353.70,-1.66,97.64,227.30,0.43,205,185.7,315.36,5,290.18,289.14,156,656.70,-101.20
13.0,771.7,533.30,299.95,10.13,24.41,49.49,1.97,350.80,-1.53,91.52,216.00,0.42,201.37,176.84,301.32,4,290.39,289.13,173,631.50,-98.20
13.5,744.7,511.80,300.16,10.35,24.25,48.86,2.10,350.50,-2.03,115.20,251.30,0.46,121.05,170.69,306.79,4,290.6,289.13,145,607.20,-95.40
14.0,696.9,471.00,299.80,10.22,21.82,48.68,1.91,351.50,-1.77,90.18,230.90,0.39,128.1,140.21,280.93,4,290.83,289.12,153,565.50,-94.50
14.5,639.3,422.10,299.13,10.18,20.14,49.55,1.66,352.10,-1.52,78.98,207.80,0.38,115.18,122.76,251.58,4,291.06,289.12,156,516.60,-94.50
15.0,583.4,373.60,299.13,10.65,27.62,46.86,1.60,350.50,-1.43,61.04,181.70,0.34,103.24,95.72,216.38,4,291.27,289.12,170,468.60,-95.00
15.5,511.5,312.70,298.92,10.26,42.68,107.90,1.63,351.60,-1.32,41.51,187.00,0.22,41.51,50.72,196.21,5,291.47,289.12,163,406.60,-93.90
16.0,442.1,252.30,299.26,10.55,12.23,79.70,1.28,351.20,-1.11,34.55,169.50,0.20,36.02,41.89,176.84,4,291.68,289.11,180,346.10,-93.80
16.5,368.3,190.60,299.80,10.25,10.57,25.64,1.16,352.30,-0.89,17.48,127.80,0.14,34.75,22.23,132.55,5,291.87,289.12,261,282.70,-92.10
17.0,290.9,127.00,298.93,10.28,7.07,21.85,1.08,354.00,-0.74,7.85,114.10,0.07,-2.02,7.71,113.96,4,291.98,289.12,258,217.70,-90.70
17.5,216.2,68.98,298.20,10.52,3.56,13.20,0.98,354.80,-0.38,-7.54,84.77,-0.09,-11.81,-6.49,85.82,5,292.05,289.13,306,157.08,-88.10
18.0,144.1,15.02,297.83,11.23,1.76,8.54,0.44,353.70,-0.21,-2.34,41.69,-0.06,-26.09,-0.87,43.15,4,292.09,289.14,541,99.92,-84.90
18.5,79.0,-25.86,296.84,11.76,-2.06,2.13,0.20,363.60,-0.30,21.65,7.39,2.93,-52.84,-133.08,-147.33,4,292.09,289.14,2404,52.14,-78.00
19.0,32.1,-48.32,295.05,11.79,-7.98,-6.36,0.24,384.90,0.29,-7.67,17.41,-0.44,-50.09,14.39,39.46,7,292.06,289.14,667,21.28,-69.60
19.5,0.0,-58.78,293.10,11.10,-14.35,-14.54,0.50,405.50,-0.36,7.37,-5.55,-1.33,-46.25,68.78,55.86,12,291.99,289.15,-1498,0.32,-59.10
20.0,0.0,-61.76,291.28,10.38,-18.31,-21.17,0.56,471.70,-9999.00,-24.81,3.05,-8.14,-21.69,151.73,179.59,19,291.9,289.17,1687,1.56,-63.32
20.5,0.0,-60.82,290.03,9.96,-18.61,-22.44,0.62,456.90,0.65,-8.85,-0.01,789.73,-33.35,-26348.62,-26339.79,31,291.77,289.18,-260871,0.66,-61.48
21.0,0.0,-59.90,289.34,9.81,-19.72,-24.13,0.48,-9999.00,-9999.00,5.97,-0.56,-10.76,-45.6,496.63,490.11,11,291.62,289.2,-6290,0.83,-60.73
21.5,0.0,-57.73,288.71,9.50,-20.57,-25.47,0.39,-9999.00,-9999.00,6.34,-3.37,-1.88,-40.13,81.77,72.06,8,291.47,289.21,-988,-0.02,-57.71
22.0,0.0,-55.26,288.24,9.33,-20.18,-25.33,0.49,-9999.00,-9999.00,7.91,-2.40,-3.29,-40.59,141.59,131.28,35,291.3,289.22,-637,-0.03,-55.23
22.5,0.0,-52.79,287.82,9.15,-19.27,-24.69,0.47,-9999.00,-9999.00,0.03,-5.12,-0.01,-28.44,0.23,-4.92,22,291.14,289.24,-409,0.12,-52.91
